Paper_ID,Title,Primary_Theme,Secondary_Themes,Relevance_Score,Year
TRINETRA_0085,A circular reverse logistics framework for handling e-commerce returns,Reverse Logistics,Decision Support,35.0,2022
TRINETRA_0001,Preventing Return Fraud in Reverse Logistics—A Case Study of ESPRES Solution by Ethereum,Reverse Logistics,Return Fraud; Marketplace; Evidence Management,35.0,2021
TRINETRA_0125,Who Is Next? A Study on Victims of Financial Fraud in Japan,Risk Assessment,Refund Management,30.0,2021
TRINETRA_0197,E-Commerce Dispute Resolution Prediction,Refund Management,Consumer Trust; Marketplace,29.5,2020
TRINETRA_0095,The billion-pound question in fashion E-commerce: Investigating the anatomy of returns,Reverse Logistics,Evidence Management,29.0,2024
TRINETRA_0083,"Explainable AI is Dead, Long Live Explainable AI!",Decision Support,Transparency; Explainable AI; Human in the Loop,28.5,2023
TRINETRA_0092,"Customer Experiences with E-commerce Returns in Bangladesh: Effects on Satisfaction, Trust, and Loyalty",Refund Management,Return Policy; Transparency,27.0,2024
TRINETRA_0205,The Development of New Technology Intergration in E-commerce Dispute Resolution in Vietnam,Refund Management,Consumer Trust,25.5,2022
TRINETRA_0210,The Future of Online Dispute Resolution: Building A Framework for E-Commerce Dispute Resolution in Indonesia,Refund Management,Transparency,25.5,2021
TRINETRA_0206,Online Arbitration in E-Commerce Dispute Resolution During the Pandemic Covid-19,Refund Management,Consumer Trust,25.5,2021
TRINETRA_0089,A Reverse Logistics Network Model for Handling E-commerce Returns,Reverse Logistics,Decision Support,24.0,2023
TRINETRA_0502,Exploring Apparel E-Commerce Unethical Return Experience: A Cross-Country Study,Return Abuse,Customer Experience,22.0,2024
TRINETRA_0281,Adaptive machine learning models: Concepts for real-time financial fraud prevention in dynamic environments,Risk Assessment,Explainable AI; Transparency; Consumer Trust,21.5,2024
TRINETRA_0123,Refund fraud analytics for an online retail purchases,Refund Management,Marketplace,21.0,2020
TRINETRA_0497,"“Buy, wear, return, repeat”: Investigating Chinese consumers' attitude and intentions to engage in wardrobing",Return Abuse,Return Policy,19.5,2022
TRINETRA_0431,Research on E-Commerce Platforms’ Return Policies Considering Consumers Abusing Return Policies,Return Policy,Consumer Trust,18.0,2023
TRINETRA_0201,SELECTION OF RATIONAL DISPUTE RESOLUTION METHOD BY APPLYING NEW STEP‐WISE WEIGHT ASSESSMENT RATIO ANALYSIS (SWARA),Decision Support,Refund Management,18.0,2010
TRINETRA_0036,Reverse logistics and closed-loop supply chain: A comprehensive review to explore the future,Reverse Logistics,Evidence Management,17.0,2014
TRINETRA_0350,"Values in Land: Fiscal Pressures, Land Disputes and Justice Claims in Rural and Peri-urban China",Refund Management,Evidence Management,16.0,2011
TRINETRA_0271,The impact of fraud prevention on bank‐customer relationships,Marketplace,Consumer Trust; Decision Support,15.5,2012
TRINETRA_0122,How to Combat Value-Added Tax Refund Fraud,Refund Management,Consumer Trust,15.0,2023
TRINETRA_0152,"Service Quality, Customer Satisfaction, Customer Trust, and Loyalty in an E-Banking Context",Consumer Trust,Consumer Trust,15.0,2012
TRINETRA_0124,Refund Fraud? Real-Time Solution!,Refund Management,Consumer Trust,15.0,2012
TRINETRA_0142,The Relationship between Customer Satisfaction and Customer Trust on Customer Loyalty,Consumer Trust,Consumer Trust,15.0,2017
TRINETRA_0144,"How to repair customer trust after negative publicity: The roles of competence, integrity, benevolence, and forgiveness",Consumer Trust,Consumer Trust,15.0,2009
TRINETRA_0479,Consumer protection and electronic commerce in the Sultanate of Oman,Consumer Trust,Refund Management; Transparency,14.0,2020
TRINETRA_0820,Jurisdiction in B2C E-Commerce Dispute within European Union,Marketplace,Consumer Trust; Decision Support,13.5,2008
TRINETRA_0175,Optimal Retail Return Policies with Wardrobing,Return Abuse,Refund Management,13.5,2017
TRINETRA_0147,The impact of corporate social responsibility (CSR) and customer trust on the restoration of loyalty after service failure and recovery,Consumer Trust,Consumer Trust,13.0,2013
TRINETRA_0406,Online dispute resolution: The future of justice,Refund Management,Consumer Trust,12.0,2015
TRINETRA_0413,Online Dispute Resolution: Consumer Redress in a Global Market Place,Refund Management,Transparency,12.0,2006
TRINETRA_0088,Towards Minimizing e-Commerce Returns for Clothing,Marketplace,Consumer Trust; Decision Support,12.0,2019
TRINETRA_0471,Integrating BIM in Construction Dispute Resolution: Development of a Contractual Framework,Refund Management,Consumer Trust,12.0,2022
TRINETRA_0171,Consumer Return Policies in Omnichannel Operations,Return Policy,Refund Management; Reverse Logistics,12.0,2020
TRINETRA_0176,Optimal Trade‐in Return Policies: Is it Wise to be Generous? <sup/>,Refund Management,Return Policy,12.0,2021
TRINETRA_0169,Customer Return Policies for Experience Goods,Return Policy,Consumer Trust,12.0,1996
TRINETRA_0473,Blockchain-Based Dispute Resolution: Insights and Challenges,Refund Management,Evidence Management,12.0,2023
TRINETRA_0158,Building Effective Online Marketplaces with Institution-Based Trust,Marketplace,Consumer Trust,12.0,2004
TRINETRA_0295,Returns operations in omnichannel retailing with buy-online-and-return-to-store,Return Policy,Consumer Trust,12.0,2023
TRINETRA_0343,Alternative Dispute Resolution Processes within the Framework of the World‐Wide Access‐to‐Justice Movement,Refund Management,Consumer Trust,12.0,1993
TRINETRA_0414,ONLINE DISPUTE RESOLUTION AND JUSTICE SYSTEM INTEGRATION: BRITISH COLUMBIA’S CIVIL RESOLUTION TRIBUNAL,Refund Management,Consumer Trust,12.0,2017
TRINETRA_0198,Unleashing Alternative Dispute Resolution (ADR) in Resolving Complex Legal- Technical Issues Arising in Cyberspace Lensing E-Commerce and Intellectual Property: Proliferation of E-Commerce Digital Economy,Refund Management,Consumer Trust,12.0,2023
TRINETRA_0199,Redress and Alternative Dispute Resolution in EU Cross-Border E-Commerce Transactions1,Refund Management,Consumer Trust,12.0,2007
TRINETRA_0339,Online dispute resolution: an artificial intelligence perspective,Refund Management,Consumer Trust,12.0,2012
TRINETRA_0204,ONLINE DISPUTE RESOLUTION (ODR): PROSPEK PENYELESAIAN SENGKETA E-COMMERCE DI INDONESIA,Refund Management,Consumer Trust,12.0,2016
TRINETRA_0203,Online dispute resolution in e-commerce: is consensus in regulation UNCITRAL’s utopian idea or a realistic ambition?,Refund Management,Consumer Trust,12.0,2021
TRINETRA_0303,New insights in online fashion retail returns from a customers’ perspective and their dynamics,Customer Experience,Consumer Trust,12.0,2021
TRINETRA_0202,Electronically-Mediated Dispute Resolution and E-Commerce,Refund Management,Consumer Trust,12.0,2001
TRINETRA_0208,Online Dispute Resolution for Consumers in the European Union,Refund Management,Consumer Trust,12.0,2010
TRINETRA_0037,AN EXAMINATION OF REVERSE LOGISTICS PRACTICES,Reverse Logistics,Consumer Trust,12.0,2001
TRINETRA_0038,Developing a Theory of Reverse Logistics,Reverse Logistics,Consumer Trust,12.0,2000
TRINETRA_0039,Reverse logistics and social sustainability,Reverse Logistics,Consumer Trust,12.0,2010
TRINETRA_0041,Returnable containers: an example of reverse logistics,Reverse Logistics,Consumer Trust,12.0,1995
TRINETRA_0042,Differences between forward and reverse logistics in a retail environment,Reverse Logistics,Consumer Trust,12.0,2002
TRINETRA_0051,A Trust Model for Consumer Internet Shopping,Consumer Trust,Consumer Trust,12.0,2001
TRINETRA_0044,Characteristics of the research on reverse logistics (1995–2005),Reverse Logistics,Consumer Trust,12.0,2006
TRINETRA_0817,ONLINE DISPUTE RESOLUTION: POST-PANDEMIC EFFECTIVENESS AND EQUITY ISSUES -A COMPARATIVE ANALYSIS,Refund Management,Consumer Trust,12.0,2026
TRINETRA_0818,Dispute Resolution Mechanisms in Electronic Commerce(Special Reference to Online Dispute Resolution Mechanism),Refund Management,Consumer Trust,12.0,2011
TRINETRA_0814,First Resort: Alternative Dispute Resolution for Breach of Verbal Purchase Agreements,Refund Management,Evidence Management,12.0,2023
TRINETRA_0819,Online dispute resolution in Indonesian e-commerce: Arbitration law and shariah consumer protection,Refund Management,Transparency,12.0,2026
TRINETRA_0816,DISPUTE RESOLUTION THROUGH ARBITRATION IN SALE AND PURCHASE AGREEMENT,Refund Management,Consumer Trust,12.0,2025
TRINETRA_0815,Quo Vadis Consumer Dispute Resolution? UK &amp; EU cross border consumer dispute resolution in the post Brexit landscape,Refund Management,Consumer Trust,12.0,2022
TRINETRA_0207,Universal standards for the concept of trust in online dispute resolution systems in e-commerce disputes,Refund Management,Consumer Trust,12.0,2019
TRINETRA_0181,Fresh food online shopping repurchase intention: the role of post-purchase customer experience and corporate image,Customer Experience,Consumer Trust,12.0,2021
TRINETRA_0498,5GARderobe: A Scalable Real-Time Virtual Wardrobe &amp; E-Commerce Solution,Marketplace,Customer Experience,12.0,2024
TRINETRA_0507,Toward a conceptualization of personalized services in apparel e-commerce fulfillment,Evidence Management,Customer Experience,12.0,2021
TRINETRA_0462,Let's Work It Out (or We'll See You in Court): Litigation and Private Dispute Resolution in Vertical Exchange Relationships,Refund Management,Evidence Management,12.0,2011
TRINETRA_0464,Improving Dispute Resolution in Two-Sided Platforms: The Case of Review Blackmail,Refund Management,Consumer Trust,12.0,2023
TRINETRA_0467,"Courts, Clans and Companies: Mobile Money and Dispute Resolution in Somaliland",Refund Management,Consumer Trust,12.0,2015
TRINETRA_0466,An Introduction to Alternative Dispute Resolution,Refund Management,Consumer Trust,12.0,1995
TRINETRA_0043,Reverse Logistics in Plastics Recycling,Reverse Logistics,Consumer Trust,12.0,1992
TRINETRA_0468,Dispute Resolution in Transnational Securities Transactions,Refund Management,Consumer Trust,12.0,2017
TRINETRA_0308,The Value of Fit Information in Online Retail: Evidence from a Randomized Field Experiment,Marketplace,Evidence Management,11.0,2018
TRINETRA_0267,Explainable Recommendation through Attentive Multi-View Learning,Explainable AI,Transparency,10.5,2019
TRINETRA_0254,Reinforcement Knowledge Graph Reasoning for Explainable Recommendation,Explainable AI,Transparency; Decision Support,10.5,2019
TRINETRA_0070,Questioning the AI: Informing Design Practices for Explainable AI User Experiences,Explainable AI,Transparency,10.5,2020
TRINETRA_0077,From Machine Learning to Explainable AI,Explainable AI,Transparency,10.5,2018
