Paper,Problem,Solution,Contribution,Limitation,Research Gap,TriNetra Opportunity
[2022] A circular reverse logistics framework for handling e-commerce returns,"Considering the above factors, this paper proposes a three-stage, circular reverse logistics framework for handling e-commerce returns.","this paper proposes a three-stage, circular reverse logistics framework for handling e-commerce returns.","this paper proposes a three-stage, circular reverse logistics framework for handling e-commerce returns.",case study based on an e-commerce firm engaged in consumer electrical and electronics.,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2021] Preventing Return Fraud in Reverse Logistics—A Case Study of ESPRES Solution by Ethereum,"However, reverse logistics services (returns and exchanges) have become the target of many fraudulent activities, causing a lot of economic losses for many online retail companies. The current challenge of the traditional countermeasure is it requires a lot of manpower and training resources.","this study, we propose ESPRES, a system that adopts blockchain technology to prevent fraudulent behavior in the process of returns and exchanges with the smart contract and multi-attribute decision-support method to help consumers choose a suitable payment program.","this study, we propose ESPRES, a system that adopts blockchain technology to prevent fraudulent behavior in the process of returns and exchanges with the smart contract and multi-attribute decision-support method to help consumers choose a suitable payment program.","however, reverse logistics services (returns and exchanges) have become the target of many fraudulent activities, causing a lot of economic losses for many online retail companies.","Focuses on isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.","TriNetra bridges this gap via replacing isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline."
[2021] Who Is Next? A Study on Victims of Financial Fraud in Japan,Japan has seen an increase in the incidents of financial frauds over the last couple of decades.,"this study investigated the socioeconomic and psychological profiles of victims of trending and special financial fraud such as fictitious billing fraud, loan guarantee fraud, and refund fraud.","this study investigated the socioeconomic and psychological profiles of victims of trending and special financial fraud such as fictitious billing fraud, loan guarantee fraud, and refund fraud.","Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2020] E-Commerce Dispute Resolution Prediction,In this work we take a first step towards automatically assisting human agents in dispute resolution at scale.,Provides theoretical and empirical insights on E-Commerce Dispute Resolution Prediction.,Provides theoretical and empirical insights on E-Commerce Dispute Resolution Prediction.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
[2024] The billion-pound question in fashion E-commerce: Investigating the anatomy of returns,"This study explores a critically under-researched aspect of Supply Chain Management (SCM), e-commerce returns in the fashion sector.","This study explores a critically under-researched aspect of Supply Chain Management (SCM), e-commerce returns in the fashion sector.","This study explores a critically under-researched aspect of Supply Chain Management (SCM), e-commerce returns in the fashion sector.","Static framework lacking real-time evidence orchestration, automated cross-verification, and dynamic multi-stakeholder trust scoring.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
"[2023] Explainable AI is Dead, Long Live Explainable AI!","However, research found that people often ignore recommendations because they do not trust them; or perhaps even worse, people follow them blindly, even when the recommendations are wrong. However, recent research shows that people do not always engage with explainability tools enough to help improve decision making.","this paper, we argue for a paradigm shift from the current model of explainable artificial intelligence (XAI), which may be counter-productive to better human decision making.","this paper, we argue for a paradigm shift from the current model of explainable artificial intelligence (XAI), which may be counter-productive to better human decision making.","however, research found that people often ignore recommendations because they do not trust them; or perhaps even worse, people follow them blindly, even when the recommendations are wrong.","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra bridges this gap via examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution."
"[2024] Customer Experiences with E-commerce Returns in Bangladesh: Effects on Satisfaction, Trust, and Loyalty","This study examines customer experiences and perceptions of e-commerce returns in Bangladesh, focusing on critical factors like product discrepancies, refund processing delays, return policy transparency, and customer service issues.","This study examines customer experiences and perceptions of e-commerce returns in Bangladesh, focusing on critical factors like product discrepancies, refund processing delays, return policy transparency, and customer service issues.","This study examines customer experiences and perceptions of e-commerce returns in Bangladesh, focusing on critical factors like product discrepancies, refund processing delays, return policy transparency, and customer service issues.","Relies on self-reported consumer survey data, which is susceptible to response bias and lacks real-time transaction verification.","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra bridges this gap via optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation."
[2022] The Development of New Technology Intergration in E-commerce Dispute Resolution in Vietnam,Some progressive examples in this paper are illustrated to develop dispute resolution mechanisms for e-commerce using new technology.,this paper are illustrated to develop dispute resolution mechanisms for e-commerce using new technology.,this paper are illustrated to develop dispute resolution mechanisms for e-commerce using new technology.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2021] The Future of Online Dispute Resolution: Building A Framework for E-Commerce Dispute Resolution in Indonesia,"There was a legal issue, the gap between e-commerce dispute resolution (das sollen) in the Act and its implementation in the field (das sein). E-commerce disputes required a resolution, such as Online Dispute Resolution (ODR). However, ODR wasn't regulated in a ""lex specialis"" for its implementation. Besides, the implementation of the prospect of ODR as a new form of construction of e-commerce transaction dispute resolution in Indonesia.",This study discussed several business settlement problems through ODR.,This study discussed several business settlement problems through ODR.,"however, odr wasn't regulated in a ""lex specialis"" for its implementation.","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
[2021] Online Arbitration in E-Commerce Dispute Resolution During the Pandemic Covid-19,"The Covid-19 pandemic has made online buying and selling activities increasing.�E-commerce is full of risks, especially because the consumers have the obligation to make any advance payment while they cannot see the condition or quality of the goods they ordered.�With the emergence of business disputes that occur both online and offline, and with the development of increasingly sophisticated technology, it is expected that the settlement of business disputes can be resolved online.�The purpose of this study was to analyze the settlement of legal disputes against online buying and selling transactions during the Covid-19 pandemic which was carried out through online arbitration.�The research method used was the normative juridical method, which was a method that seeks to analyze dispute resolution carried out through online arbitration which was then linked to the provisions of laws and regulations.�The process of conducting online arbitration is by using the internet as media.�The room for communication is more like a chat room based on real-time audio-visual streaming.�With the application to communicate, the parties can convey their data, facts, information, or responses through this platform.�Legal sanctions�against�online�buying and selling transactions�that do not match the order are�regulated in two general rules�(Lex Generalis)�and special rules�(Lex Specialist).Keywords:�E-Commerce;�Covid-19,�Online Arbitration;�Legal�Sanctions.",this study was to analyze the settlement of legal disputes against online buying and selling transactions during the Covid-19 pandemic which was carried out through online arbitration.,this study was to analyze the settlement of legal disputes against online buying and selling transactions during the Covid-19 pandemic which was carried out through online arbitration.,Static analysis lacking automated real-time multi-stakeholder evidence cross-verification.,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra bridges this gap via does not provide an end-to-end evidence-driven, explainable dispute resolution platform."
