Paper_ID,Title,Abstract,Problem_Statement,Solution,Methodology,Dataset,Existing_Systems,Authors,Year,Journal,Conference,DOI,Keywords,Citation_Count,Research_Area,Verification_Stage,Evidence_Sources,Organization_Scope,Product_Identity,Evidence_Reconciliation,Explainability,Human_In_The_Loop,Return_Dispute,Limitations,Research_Gap,TriNetra_Relevance,TriNetra_Module,Source,URL,Relevance_Score,Classification
TRINETRA_0001,Preventing Return Fraud in Reverse Logistics—A Case Study of ESPRES Solution by Ethereum,"With the rapid development of e-commerce services, online retail has evolved from multi-channel to omni-channel in order to provide customers with more services. However, reverse logistics services (returns and exchanges) have become the target of many fraudulent activities, causing a lot of economic losses for many online retail companies. The current challenge of the traditional countermeasure is it requires a lot of manpower and training resources. In this study, we propose ESPRES, a system that adopts blockchain technology to prevent fraudulent behavior in the process of returns and exchanges with the smart contract and multi-attribute decision-support method to help consumers choose a suitable payment program. A practical implication of this study is that by adopting blockchain technology, a great amount of manpower used on determining whether each return or exchange is fraudulent can be reduced since merchants can check the product ownership. In addition, due to the fact that the footprint of goods cannot be forged, it can also prevent counterfeit or parallel imports of goods.","However, reverse logistics services (returns and exchanges) have become the target of many fraudulent activities, causing a lot of economic losses for many online retail companies. The current challenge of the traditional countermeasure is it requires a lot of manpower and training resources.",Proposes Preventing Return Fraud in Reverse Logistics—A Case Study of mechanism for product/evidence verification.,Rule-based System / Architecture,E-Commerce Fulfillment & Return Records,"Standard warehouse packing scanners, single-source fraud detection tools.",Dong‐Her Shih; Feng-Chuan Huang; Chia-Yi Chieh; Ming‐Hung Shih; Ting-Wei Wu,2021,Journal of theoretical and applied electronic commerce research,Journal of theoretical and applied electronic commerce research,10.3390/jtaer16060121,Counterfeit; Order (exchange); Business; Countermeasure; Product (mathematics); Reverse logistics; Goods and services; Payment; Computer security; Process (computing),33,Information Systems,Return,Logistics; Return Center; Customer,Unknown,None/Unknown,,,Conditional,Yes,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for return and unknown verification.,Marketplace Dashboard,OpenAlex,https://doi.org/10.3390/jtaer16060121,20.0,Highly Relevant
TRINETRA_0197,E-Commerce Dispute Resolution Prediction,"E-Commerce marketplaces support millions of daily transactions, and some disagreements between buyers and sellers are unavoidable. Resolving disputes in an accurate, fast, and fair manner is of great importance for maintaining a trustworthy platform. Simple cases can be automated, but intricate cases are not sufficiently addressed by hard-coded rules, and therefore most disputes are currently resolved by people. In this work we take a first step towards automatically assisting human agents in dispute resolution at scale. We construct a large dataset of disputes from the eBay online marketplace, and identify several interesting behavioral and linguistic patterns. We then train classifiers to predict dispute outcomes with high accuracy. We explore the model and the dataset, reporting interesting correlations, important features, and insights.",In this work we take a first step towards automatically assisting human agents in dispute resolution at scale.,Proposes E-Commerce Dispute Resolution Prediction mechanism for product/evidence verification.,Rule-based System / Architecture,E-Commerce Fulfillment & Return Records,"Standard warehouse packing scanners, single-source fraud detection tools.",David Tsurel; Michael Doron; Alexander Nus; Arnon Dagan; Ido Guy; Dafna Shahaf,2020,,,10.1145/3340531.3411906,Computer science; Construct (python library); Dispute resolution; Trustworthiness; Data science; Resolution (logic); E-commerce; Scale (ratio); Work (physics); Simple (philosophy),11,Political Science and International Relations,Dispute Resolution,Seller; Marketplace; Customer,Unknown,None/Unknown,,Rule-Based,Conditional,Yes,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for dispute resolution and unknown verification.,Trust Score,OpenAlex,https://doi.org/10.1145/3340531.3411906,20.0,Highly Relevant
TRINETRA_0550,Blockchain technology for supply chain provenance: increasing supply chain efficiency and consumer trust,"Purpose This study aims to examine the blockchain landscape in supply chain management by drawing insights from academic and industry literature. It identifies the key drivers, categorizes the products involved and highlights the business values achieved by early adopters of blockchain technology within the supply chain domain. Additionally, it explores fingerprinting techniques to establish a robust connection between physical products and the blockchain ledger. Design/methodology/approach The authors combined the interpretive sensemaking systematic literature review to offer insights into how organizations interpreted their business challenges and adopted blockchain technology in their specific supply chain context; content analysis (using Leximancer automated text mining software) for concept mapping visualization, facilitating the identification of key themes, trends and relationships, and qualitative thematic analysis (NVivo) for data organization, coding and enhancing the depth and efficiency of analysis. Findings The findings highlight the transformative potential of blockchain technology and offer valuable insights into its implementation in optimizing supply chain operations. Furthermore, it emphasizes the importance of product provenance information to consumers, with blockchain technology offering certainty and increasing customer loyalty toward brands that prioritize transparency. Research limitations/implications This research has several limitations that should be acknowledged. First, there is a possibility that some relevant investigations may have been missed or omitted, which could impact the findings. In addition, the limited availability of literature on blockchain adoption in supply chains may restrict the scope of the conclusions. The evolving nature of blockchain adoption in supply chains also poses a limitation. As the technology is in its infancy, the authors expect that a rapidly emerging body of literature will provide more extensive evidence-based general conclusions in the future. Another limitation is the lack of information contrasting academic and industry research, which could have provided more balanced insights into the technology’s advancement. The authors attributed this limitation to the narrow collaborations between academia and industry in the field of blockchain for supply chain management. Practical implications Practitioners recognize the potential of blockchain in addressing industry-specific challenges, such as ensuring transparency and data provenance. Understanding the benefits achieved by early adopters can serve as a starting point for companies considering blockchain adoption. Blockchain technology can verify product origin, enable truthful certifications and comply with established standards, reinforcing trust among stakeholders and customers. Thus, implementing blockchain solutions can enhance brand reputation and consumer confidence by ensuring product authenticity and quality. Based on the results, companies can align their strategies and initiatives with their needs and expectations. Social implications In essence, the integration of blockchain technology within supply chain provenance initiatives not only influences economic aspects but also brings substantial social impacts by reinforcing consumer trust, encouraging sustainable and ethical practices, combating product counterfeiting, empowering stakeholders and contributing to a more responsible, transparent and progressive socioeconomic environment. Originality/value This study consolidates current knowledge on blockchain’s capacity and identifies the specific drivers and business values associated with early blockchain adoption in supply chain provenance. Furthermore, it underscores the critical role of product fingerprinting techniques in supporting blockchain for supply chain provenance, facilitating more robust and efficient supply chain operations.","Another limitation is the lack of information contrasting academic and industry research, which could have provided more balanced insights into the technology’s advancement.",Proposes Blockchain technology for supply chain provenance: increasin mechanism for product/evidence verification.,Rule-based System / Architecture,Supply Chain Event Log,"Standard warehouse packing scanners, single-source fraud detection tools.",Elena Isabel Vazquez Melendez; Paul Bergey; Brett R. Smith,2024,Supply Chain Management An International Journal,Supply Chain Management An International Journal,10.1108/scm-08-2023-0383,Blockchain; Supply chain; Business; Supply chain management; Industrial organization; Supply chain risk management; Process management; Commerce; Marketing; Service management,148,Information Systems,Return,Customer,Unknown,Image/Vision,None,Audit Trail,Conditional,No,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for return and unknown verification.,Evidence Collection,OpenAlex,https://doi.org/10.1108/scm-08-2023-0383,20.0,Highly Relevant
TRINETRA_0502,Exploring Apparel E-Commerce Unethical Return Experience: A Cross-Country Study,"This study examines the relationships between socio-demographic factors, purchase frequency, internet expertise, and unethical return behavior in apparel e-commerce, with a particular focus on the act of wardrobing—wearing and then returning used apparel. The research involved a survey of 1026 online apparel consumers from Portugal and the Czech Republic. The results show that frequent buyers, internet-savvy users, women and younger e-consumers report more satisfactory return experiences. However, several e-consumers engage in wardrobe shopping, with higher rates observed among males, internet-savvy users and youth. There are differences between the countries studied: in the Czech sample, men and advanced internet users are more likely to engage in wardrobing, while in the Portuguese sample, it is more prevalent among younger e-consumers. The results also document that, overall, men are seven times more likely to practice unethical return, while increasing age decreases the likelihood. The originality of the study lies in its approach and findings, which contribute to the understanding of post-purchase behavior and moral hazards in e-commerce and highlight the need for retailers to balance return policies that prevent abuse while maintaining customer satisfaction. Recommendations are made for improving loyalty programs and personalizing the e-shopping experience to minimize returns and promote ethical consumer behavior. Further research is suggested to develop these findings and improve return management in apparel e-commerce.","This study examines the relationships between socio-demographic factors, purchase frequency, internet expertise, and unethical return behavior in apparel e-commerce, with a particular focus on the act of wardrobing—wearing and then returning used apparel. However, several e-consumers engage in wardrobe shopping, with higher rates observed among males, internet-savvy users and youth.",Proposes Exploring Apparel E-Commerce Unethical Return Experience: A  mechanism for product/evidence verification.,Rule-based System / Architecture,E-Commerce Fulfillment & Return Records,"Standard warehouse packing scanners, single-source fraud detection tools.",José Magano; Jana Turčínková; Mário Coutinho dos Santos; Roxana Correia; Mikhail Serebriannikov,2024,Journal of theoretical and applied electronic commerce research,Journal of theoretical and applied electronic commerce research,10.3390/jtaer19040127,Clothing; E-commerce; Business; Commerce; Marketing; Advertising; Computer science; World Wide Web; Political science; Law,8,Information Systems and Management,Return,Return Center; Customer,Unknown,None/Unknown,,Knowledge Graph,Yes,Yes,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for return and unknown verification.,Marketplace Dashboard,OpenAlex,https://doi.org/10.3390/jtaer19040127,18.4,Highly Relevant
TRINETRA_0208,Online Dispute Resolution for Consumers in the European Union,"A PDF version of this book is available for free in open access via www.tandfebooks.com as well as the OAPEN Library platform, www.oapen.org. It has been made available under a Creative Commons Attribution-Non Commercial-No Derivatives 3.0 license and is part of the OAPEN-UK research project. E-commerce offers immense challenges to traditional dispute resolution methods, as it entails parties often located in different parts of the world making contracts with each other at the click of a mouse. The use of traditional litigation for disputes arising in this forum is often inconvenient, impractical, time-consuming and expensive due to the low value of the transactions and the physical distance between the parties. Thus modern legal systems face a crucial choice: either to adopt traditional dispute resolution methods that have served the legal systems well for hundreds of years or to find new methods which are better suited to a world not anchored in territorial borders. Online Dispute Resolution (ODR), originally an off-shoot of Alternative Dispute Resolution (ADR), takes advantage of the speed and convenience of the Internet, becoming the best, and often the only option for enhancing consumer redress and strengthening their trust in e-commerce. This book provides an in-depth account of the potential of ODR for European consumers, offering a comprehensive and up to date analysis of the development of ODR. It considers the current expansion of ODR and evaluates the challenges posed in its growth. The book proposes the creation of legal standards to close the gap between the potential of ODR services and their actual use, arguing that ODR, if it is to realise its full potential in the resolution of e-commerce disputes and in the enforcement of consumer rights, must be grounded firmly on a European regulatory model.","E-commerce offers immense challenges to traditional dispute resolution methods, as it entails parties often located in different parts of the world making contracts with each other at the click of a mouse. Thus modern legal systems face a crucial choice: either to adopt traditional dispute resolution methods that have served the legal systems well for hundreds of years or to find new methods which are better suited to a world not anchored in territorial borders. Online Dispute Resolution (ODR), originally an off-shoot of Alternative Dispute Resolution (ADR), takes advantage of the speed and convenience of the Internet, becoming the best, and often the only option for enhancing consumer redress and strengthening their trust in e-commerce.",Proposes Online Dispute Resolution for Consumers in the European Unio mechanism for product/evidence verification.,Rule-based System / Architecture,E-Commerce Fulfillment & Return Records,"Standard warehouse packing scanners, single-source fraud detection tools.",Pablo Cortés,2010,,,10.4324/9780203847756,European union; Dispute resolution; Online dispute resolution; Resolution (logic); Political science; Business; Alternative dispute resolution; International trade; Computer science; Artificial intelligence,125,Strategy and Management,Dispute Resolution,Marketplace,Unknown,RFID,,,Conditional,Yes,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for dispute resolution and unknown verification.,Trust Score,OpenAlex,https://doi.org/10.4324/9780203847756,17.6,Highly Relevant
TRINETRA_0552,PharmaChain: Blockchain-based drug supply chain provenance verification system,"Over the last decade, pharmaceutical businesses have battled to standardize product traceability across the supply chain process, enabling counterfeiters to enter the market with counterfeit pharmaceuticals. As a result, an end-to-end product tracking system is crucial for ensuring product safety and eliminating counterfeit products across the pharmaceutical supply chain. In this paper, we introduce PharmaChain, a decentralized hyperledger fabric framework that leverages confidentiality, accountability, and interoperability. This system enables on-chain and off-chain storage for secured, rapid transactions, along with smart contracts establishing data provenance. To demonstrate security, we have provided double signing through the elliptic curve digital signature algorithm, hash data encryption, and 33% node attack. The purpose of this suggested framework is to engage particular governance disciplines to assess its effectiveness in improving drug traceability across the pharmaceutical supply chain to preserve public health by preventing counterfeit pharmaceuticals.",,Proposes PharmaChain: Blockchain-based drug supply chain provenance v mechanism for product/evidence verification.,Rule-based System / Architecture,Supply Chain Event Log,"Standard warehouse packing scanners, single-source fraud detection tools.",Sarmistha Sarna Gomasta; Aditi Dhali; Tahlil Tahlil; Md Musfique Anwar; A. B. M. Shawkat Ali,2023,Heliyon,Heliyon,10.1016/j.heliyon.2023.e17957,Traceability; Supply chain; Counterfeit; Computer security; Digital signature; Encryption; Counterfeit Drugs; Interoperability; Computer science; Product (mathematics),71,Information Systems,Return,Multi-Source,Unknown,None/Unknown,Single Source,Audit Trail,Conditional,No,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for return and unknown verification.,Evidence Collection,OpenAlex,https://doi.org/10.1016/j.heliyon.2023.e17957,17.6,Highly Relevant
TRINETRA_0205,The Development of New Technology Intergration in E-commerce Dispute Resolution in Vietnam,"Regulatory authorities all over the world are making plans to observe and advise cryptocurrency action in their countries in a responsible way. This is to ensure, among other things, market rate behavior, market economics, the implementation and regulation of tax laws, and consumer safety inside the distinctive attributes of the investments, all while encouraging the development of a profitable bitcoin economy. Vietnam is no different, especially as cryptocurrencies are known to be cross-jurisdictional, and as such, supervisory difficulties do not end at state boundaries. Recent developments in Vietnam indicate that they are moving toward cross-jurisdictional regulatory norms to promote regulatory clarity, remove loopholes, and prevent regulatory arbitrage, all while adhering to stringent currency control. There also has been some recent recognition of crypto-based inventions and efficiency in money and trade, notably for cross-border dealings. Some progressive examples in this paper are illustrated to develop dispute resolution mechanisms for e-commerce using new technology. Recommendations are made in respect to the use of viewpoints of a comprehensive cross-section of the Quadratic Voting /Smart Contracts with permission-based blockchain network as useful tools to assist Vietnamese controllers in emerging online dispute mechanisms towards a streamlined e-commerce economy.",Some progressive examples in this paper are illustrated to develop dispute resolution mechanisms for e-commerce using new technology.,Proposes The Development of New Technology Intergration in E-commerce mechanism for product/evidence verification.,Rule-based System / Architecture,E-Commerce Fulfillment & Return Records,"Standard warehouse packing scanners, single-source fraud detection tools.",Tran Nam; Nguyễn Văn Minh; Tran Vai; Thomas Giglione,2022,REVISTA BRASILEIRA DE ALTERNATIVE DISPUTE RESOLUTION,REVISTA BRASILEIRA DE ALTERNATIVE DISPUTE RESOLUTION,10.52028/rbadr.v4i7.13,Cryptocurrency; CLARITY; Business; Legalization; Interdiction; Industrial organization; Economics; Computer security; Law; Computer science,3,Information Systems,Dispute Resolution,Multi-Source,Unknown,None/Unknown,,,Conditional,Yes,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for dispute resolution and unknown verification.,Marketplace Dashboard,OpenAlex,https://doi.org/10.52028/rbadr.v4i7.13,16.8,Highly Relevant
TRINETRA_0479,Consumer protection and electronic commerce in the Sultanate of Oman,"Purpose Within a larger mandate of reviewing the key global trends concerning consumer protection in the electronic commerce (e-commerce) literature, this study aims to study the legal framework concerning e-commerce and consumer protection in the Sultanate of Oman and to analyse the current regulations concerning e-commerce and consumer protection. Design/methodology/approach This study followed the normative legal research approach and resorted to the desk research process to facilitate content analysis of literature containing consumer protection legislation and regulatory provisions in Oman in particular and the rest of the world in general. Findings The study reveals that consumer protection initiatives in Oman are well entrenched for offline transactions, but are relatively new and limited for e-commerce. In spite of the promulgation of consumer protection laws, electronic transaction law and cybercrime law, consumer protection measures for e-commerce in Oman do not address a large number of the global concerns necessary to build consumer confidence and trust in the online environment. Research limitations/implications There is a dearth of information concerning Oman on this topic in the extant literature. The research also witnessed the lack of empirical data on the issue of consumer protection and e-commerce in Oman that offer a detailed database of consumer complaints and associated outcomes. Practical implications The mechanism of consumer protection in electronic transactions is not robust in many countries. Because of the lack of comprehensive and robust legislation, consumers remain vulnerable in the online contractual purchase process. Moving beyond the fragmented legislation, many countries are currently mulling an all-comprehensive e-commerce law, implications of this paper will help the policymakers in identifying the focus areas. Social implications Consumer protection is a burning global issue in this era of consumerism. It is important to build consumer trust, transparency and integrity of transactions to reduce the risk and uncertainties of purchase. Originality/value Consumer protection studies conducted in the context of Oman, hitherto, deal more with data protection and dispute resolution mechanisms, and less with legal provisions, regulations and consumer confidence. The study shares newer insights based on a systematic review of legal and business databases. It is the first study of its kind in the context of Oman and the Middle East in general.","The research also witnessed the lack of empirical data on the issue of consumer protection and e-commerce in Oman that offer a detailed database of consumer complaints and associated outcomes. Because of the lack of comprehensive and robust legislation, consumers remain vulnerable in the online contractual purchase process. Originality/value Consumer protection studies conducted in the context of Oman, hitherto, deal more with data protection and dispute resolution mechanisms, and less with legal provisions, regulations and consumer confidence.",Proposes Consumer protection and electronic commerce in the Sultanate mechanism for product/evidence verification.,Rule-based System / Architecture,E-Commerce Fulfillment & Return Records,"Standard warehouse packing scanners, single-source fraud detection tools.",Rakesh Belwal; Rahima Al Shibli; Shweta Belwal,2020,Journal of Information Communication and Ethics in Society,Journal of Information Communication and Ethics in Society,10.1108/jices-09-2019-0110,Consumer protection; Legislation; Business; Consumer Bill of Rights; Mandate; Cybercrime; Consumer Protection Act; Database transaction; Marketing; The Internet,46,Strategy and Management,Return,Multi-Source,Unknown,None/Unknown,,,Conditional,Yes,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for return and unknown verification.,Trust Score,OpenAlex,https://doi.org/10.1108/jices-09-2019-0110,16.8,Highly Relevant
TRINETRA_0206,Online Arbitration in E-Commerce Dispute Resolution During the Pandemic Covid-19,"The Covid-19 pandemic has made online buying and selling activities increasing.�E-commerce is full of risks, especially because the consumers have the obligation to make any advance payment while they cannot see the condition or quality of the goods they ordered.�With the emergence of business disputes that occur both online and offline, and with the development of increasingly sophisticated technology, it is expected that the settlement of business disputes can be resolved online.�The purpose of this study was to analyze the settlement of legal disputes against online buying and selling transactions during the Covid-19 pandemic which was carried out through online arbitration.�The research method used was the normative juridical method, which was a method that seeks to analyze dispute resolution carried out through online arbitration which was then linked to the provisions of laws and regulations.�The process of conducting online arbitration is by using the internet as media.�The room for communication is more like a chat room based on real-time audio-visual streaming.�With the application to communicate, the parties can convey their data, facts, information, or responses through this platform.�Legal sanctions�against�online�buying and selling transactions�that do not match the order are�regulated in two general rules�(Lex Generalis)�and special rules�(Lex Specialist).Keywords:�E-Commerce;�Covid-19,�Online Arbitration;�Legal�Sanctions.","The Covid-19 pandemic has made online buying and selling activities increasing.�E-commerce is full of risks, especially because the consumers have the obligation to make any advance payment while they cannot see the condition or quality of the goods they ordered.�With the emergence of business disputes that occur both online and offline, and with the development of increasingly sophisticated technology, it is expected that the settlement of business disputes can be resolved online.�The purpose of this study was to analyze the settlement of legal disputes against online buying and selling transactions during the Covid-19 pandemic which was carried out through online arbitration.�The research method used was the normative juridical method, which was a method that seeks to analyze dispute resolution carried out through online arbitration which was then linked to the provisions of laws and regulations.�The process of conducting online arbitration is by using the internet as media.�The room for communication is more like a chat room based on real-time audio-visual streaming.�With the application to communicate, the parties can convey their data, facts, information, or responses through this platform.�Legal sanctions�against�online�buying and selling transactions�that do not match the order are�regulated in two general rules�(Lex Generalis)�and special rules�(Lex Specialist).Keywords:�E-Commerce;�Covid-19,�Online Arbitration;�Legal�Sanctions.",Proposes Online Arbitration in E-Commerce Dispute Resolution During t mechanism for product/evidence verification.,Rule-based System / Architecture,E-Commerce Fulfillment & Return Records,"Standard warehouse packing scanners, single-source fraud detection tools.",Mohammad Ghozali; Budi Ispriyarso,2021,Jurnal Daulat Hukum,Jurnal Daulat Hukum,10.30659/jdh.v4i3.16266,Arbitration; Dispute resolution; Sanctions; Business; Online dispute resolution; Order (exchange); Settlement (finance); Online business; E-commerce; Payment,3,Political Science and International Relations,Return,Marketplace,Unknown,Image/Vision,,Rule-Based,Conditional,Yes,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for return and unknown verification.,Marketplace Dashboard,OpenAlex,https://doi.org/10.30659/jdh.v4i3.16266,16.8,Highly Relevant
TRINETRA_0210,The Future of Online Dispute Resolution: Building A Framework for E-Commerce Dispute Resolution in Indonesia,"There was a legal issue, the gap between e-commerce dispute resolution (das sollen) in the Act and its implementation in the field (das sein). E-commerce disputes required a resolution, such as Online Dispute Resolution (ODR). ODR hasn't conducted a face-to-face method, low cost, and covers wide areas. However, ODR wasn't regulated in a ""lex specialis"" for its implementation. This study discussed several business settlement problems through ODR. Besides, the implementation of the prospect of ODR as a new form of construction of e-commerce transaction dispute resolution in Indonesia. This study provided an understanding of ODR and how the law used to mediate community disputes by using the internet as an alternative possibility to resolve conflicts in society in Indonesia. This paper described the probabilities and challenges of implementing ODR. This paper was normative juridical research which was collected through literature study. The research analysis used a statute approach and a comparative approach. The results showed the mechanism of ODR solved the e-commerce dispute. ODR's execution was in line with the trade sector development. ODR regulated for provided and supported the consumer protection law in Indonesia. ODR regulations in Indonesia should be regulate explicitly to provide legal certainty for the community.","There was a legal issue, the gap between e-commerce dispute resolution (das sollen) in the Act and its implementation in the field (das sein). E-commerce disputes required a resolution, such as Online Dispute Resolution (ODR). However, ODR wasn't regulated in a ""lex specialis"" for its implementation. Besides, the implementation of the prospect of ODR as a new form of construction of e-commerce transaction dispute resolution in Indonesia.",Proposes The Future of Online Dispute Resolution: Building A Framewor mechanism for product/evidence verification.,Rule-based System / Architecture,E-Commerce Fulfillment & Return Records,"Standard warehouse packing scanners, single-source fraud detection tools.",Rina Elsa Rizkiana,2021,The Lawpreneurship Journal,The Lawpreneurship Journal,10.21632/tlj.1.2.114-138,Online dispute resolution; Dispute resolution; Dispute mechanism; Alternative dispute resolution; Business; Database transaction; E-commerce; Legal certainty; Settlement (finance); Law and economics,1,Strategy and Management,Return,Multi-Source,Unknown,None/Unknown,,,Conditional,Yes,Assumes single-organization data access; limited cross-organizational data sharing.,Does not reconcile conflicting records generated independently across separate stakeholder systems.,Provides foundational methodology for return and unknown verification.,Evidence Consistency,OpenAlex,https://doi.org/10.21632/tlj.1.2.114-138,16.8,Highly Relevant
