case_id,company,category,complaint_type,conflict_type,expected_status,severity,source
CMP_00001,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00002,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00003,Meesho,Apparel/Clothing,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00004,Ajio,Apparel/Clothing,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00005,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00006,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00007,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00008,Amazon,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00009,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00010,Flipkart,Apparel/Clothing,Counterfeit Product,IDENTITY_CONFLICT,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00011,Ajio,Other/Unspecified,Policy Issue,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00012,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00013,Amazon,Other/Unspecified,COD Scam,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00014,Ajio,Other/Unspecified,Policy Issue,,CONSISTENT,MEDIUM,REAL_COMPLAINT
CMP_00015,Meesho,Footwear,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00016,Flipkart,Beauty/Personal Care,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00017,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00018,Flipkart,Electronics,Empty Box Delivery,WEIGHT_ANOMALY,CONFLICT,CRITICAL,REAL_COMPLAINT
CMP_00019,Myntra,Footwear,Used Product,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00020,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00021,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00022,Amazon,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00023,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00024,Myntra,Apparel/Clothing,Return Rejected,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00025,D2C Brand,Apparel/Clothing,Refund Delay,,CONSISTENT,HIGH,REAL_COMPLAINT
CMP_00026,Nykaa,Apparel/Clothing,Replacement Rejected,IDENTITY_CONFLICT,CONFLICT,HIGH,REAL_COMPLAINT
CMP_00027,Ajio,Footwear,Pickup Failure,TEMPORAL_CONFLICT,CONFLICT,MEDIUM,REAL_COMPLAINT
CMP_00028,Shopify,Apparel/Clothing,Seller Fraud,,CONSISTENT,CRITICAL,REAL_COMPLAINT
CMP_00029,Nykaa,Footwear,Damaged Product,WEIGHT_ANOMALY,CONFLICT,HIGH,REAL_COMPLAINT
