Paper_ID,Title,Identified_Gap,TriNetra_Solution,Module_Impact
TRINETRA_0085,A circular reverse logistics framework for handling e-commerce returns,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Explainability; Marketplace Dashboard
TRINETRA_0001,Preventing Return Fraud in Reverse Logistics—A Case Study of ESPRES Solution by Ethereum,"Focuses on isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.","TriNetra addresses this by providing replacing with isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.",Evidence Collection; Evidence Consistency
TRINETRA_0125,Who Is Next? A Study on Victims of Financial Fraud in Japan,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0197,E-Commerce Dispute Resolution Prediction,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Case Timeline; Marketplace Dashboard
TRINETRA_0095,The billion-pound question in fashion E-commerce: Investigating the anatomy of returns,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Evidence Collection; Marketplace Dashboard
TRINETRA_0083,"Explainable AI is Dead, Long Live Explainable AI!","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Evidence Collection; Trust Intelligence
TRINETRA_0092,"Customer Experiences with E-commerce Returns in Bangladesh: Effects on Satisfaction, Trust, and Loyalty","Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Trust Intelligence
TRINETRA_0205,The Development of New Technology Intergration in E-commerce Dispute Resolution in Vietnam,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0210,The Future of Online Dispute Resolution: Building A Framework for E-Commerce Dispute Resolution in Indonesia,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline
TRINETRA_0206,Online Arbitration in E-Commerce Dispute Resolution During the Pandemic Covid-19,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline; Human Review
TRINETRA_0089,A Reverse Logistics Network Model for Handling E-commerce Returns,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0502,Exploring Apparel E-Commerce Unethical Return Experience: A Cross-Country Study,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Evidence Consistency
TRINETRA_0281,Adaptive machine learning models: Concepts for real-time financial fraud prevention in dynamic environments,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Adaptive Verification; Trust Intelligence
TRINETRA_0123,Refund fraud analytics for an online retail purchases,"Focuses on isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.","TriNetra addresses this by providing replacing with isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0497,"“Buy, wear, return, repeat”: Investigating Chinese consumers' attitude and intentions to engage in wardrobing","Focuses on isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.","TriNetra addresses this by providing replacing with isolated fraud detection without integrating multi-stakeholder evidence (customer photos, courier tracking, warehouse scans) into an explainable case timeline.",Evidence Consistency
TRINETRA_0431,Research on E-Commerce Platforms’ Return Policies Considering Consumers Abusing Return Policies,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0201,SELECTION OF RATIONAL DISPUTE RESOLUTION METHOD BY APPLYING NEW STEP‐WISE WEIGHT ASSESSMENT RATIO ANALYSIS (SWARA),"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Case Timeline; Explainability
TRINETRA_0036,Reverse logistics and closed-loop supply chain: A comprehensive review to explore the future,"Optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.","TriNetra addresses this by providing optimizes reverse logistics infrastructure but fails to address return fraud detection, evidence verification, and consumer trust preservation.",Marketplace Dashboard
TRINETRA_0350,"Values in Land: Fiscal Pressures, Land Disputes and Justice Claims in Rural and Peri-urban China","Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Evidence Collection; Case Timeline
TRINETRA_0271,The impact of fraud prevention on bank‐customer relationships,"Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence
TRINETRA_0122,How to Combat Value-Added Tax Refund Fraud,"Does not provide an end-to-end evidence-driven, explainable dispute resolution platform.","TriNetra addresses this by providing does not provide an end-to-end evidence-driven, explainable dispute resolution platform.",Marketplace Dashboard; Trust Intelligence
TRINETRA_0152,"Service Quality, Customer Satisfaction, Customer Trust, and Loyalty in an E-Banking Context","Examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.","TriNetra addresses this by providing examines consumer trust conceptually without providing an automated, transparent evidence verification engine for dispute resolution.",Trust Intelligence
